Zone,State,City,Name,location_type,establishment_year,visit_duration_hours,google_rating,entrance_fee,airport_within_city,weekly _off,Significance,dslr_allowed,review_count ,best_time_to_visit
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,TRUE,,Historical,TRUE,2.6,Evening
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,TRUE,,Historical,TRUE,0.4,Afternoon
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,TRUE,,Religious,FALSE,0.4,Afternoon
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,TRUE,Monday,Environmental,TRUE,0.27,Evening
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,TRUE,,Scientific,TRUE,0.31,Morning
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,TRUE,Sunday,Market,TRUE,0.25,Afternoon
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,TRUE,Monday,Religious,TRUE,0.59,Evening
Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,TRUE,,Historical,TRUE,1.5,Afternoon
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,TRUE,,Historical,TRUE,0.41,Afternoon
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,TRUE,,Botanical,TRUE,0.16,Afternoon
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,TRUE,,Botanical,TRUE,0.23,Morning
Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,TRUE,,Botanical,TRUE,0.48,All
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,TRUE,Monday,Artistic,TRUE,0.08,All
Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,TRUE,Friday,Environmental,TRUE,0.41,All
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,TRUE,,Historical,TRUE,1.37,Afternoon
Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,TRUE,,Scientific,TRUE,0.23,All
Western,Maharashtra,Mumbai,Marine Drive,Promenade,,2,4.5,0,TRUE,,Scenic,TRUE,1.5,Evening
Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,TRUE,,Historical,TRUE,3.6,All
Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,TRUE,,Historical,TRUE,0.34,All
Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,TRUE,Monday,Wildlife,TRUE,0.6,All
Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,TRUE,,Religious,FALSE,1.05,All
Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,TRUE,,Religious,FALSE,0.33,All
Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,TRUE,,Religious,FALSE,0.16,All
Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,,2,4.3,0,TRUE,,Recreational,TRUE,0.05,Evening
Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,TRUE,,Recreational,TRUE,0.27,All
Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,TRUE,,Historical,TRUE,0.35,All 
Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,FALSE,Monday,Recreational,TRUE,0.95,All
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,TRUE,Monday,Historical,TRUE,0.9,Morning
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,TRUE,,Nature,TRUE,1.5,Evening
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,TRUE,,Nature,TRUE,1.32,Morning
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,TRUE,,Architectural,FALSE,0.8,Morning
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,TRUE,,Religious,TRUE,1.14,Evening
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,TRUE,Friday,Historical,TRUE,2.1,Morning
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,TRUE,,Historical,TRUE,1.2,Morning
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,TRUE,,Scenic,TRUE,0.5,Evening
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,TRUE,,Entertainment,TRUE,0.45,All
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,TRUE,,Historical,TRUE,0.67,All
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,TRUE,,Historical,TRUE,0.2,Morning
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,TRUE,,Religious,FALSE,0.41,All
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,TRUE,,Historical,TRUE,0.45,Morning
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,TRUE,,Wildlife,TRUE,0.86,Morning
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,TRUE,,Recreational,TRUE,0.73,Evening
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,TRUE,Monday,Historical,TRUE,0.73,Morning
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,TRUE,,Architectural,FALSE,1.2,Anytime
Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,TRUE,Monday,Historical,TRUE,0.18,Morning
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,TRUE,,Religious,TRUE,0.82,Morning
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,TRUE,,Religious,TRUE,0.5,Morning
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,TRUE,,Sports,TRUE,0.1,All
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,TRUE,,Wildlife,TRUE,0.66,Afternoon
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,TRUE,,Educational,TRUE,0.88,All
Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,TRUE,,Religious,TRUE,0.47,Morning
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,TRUE,,Historical,TRUE,0.1,Afternoon
Southern,Goa,Goa,Calangute Beach,Beach,,2,4.4,0,TRUE,,Scenic,TRUE,0.26,Evening
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,TRUE,,Historical,TRUE,0.59,Afternoon
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,TRUE,,Historical,TRUE,0.95,Morning
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,,3,4.6,500,TRUE,,Nature,TRUE,0.3,Afternoon
Southern,Goa,Goa,Anjuna Beach,Beach,,2,4.4,0,TRUE,,Scenic,TRUE,0.18,Evening
Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,TRUE,,Historical,TRUE,0.19,Evening
Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,TRUE,,Historical,TRUE,0.05,Afternoon
Southern,Goa,Goa,Baga Beach,Beach,,2,4.5,0,TRUE,,Scenic,TRUE,0.35,Evening
Southern,Goa,Goa,Arambol Beach,Beach,,2,4.6,0,TRUE,,Scenic,TRUE,0.1,Evening
Southern,Goa,Goa,Palolem Beach,Beach,,2,4.6,0,TRUE,,Scenic,TRUE,0.27,Evening
Southern,Goa,Goa,Colva Beach,Beach,,2,4.3,0,TRUE,,Scenic,TRUE,0.1,Evening
Southern,Goa,Goa,Miramar Beach,Beach,,1.5,4.2,0,TRUE,,Scenic,TRUE,0.3,Evening
Southern,Goa,Goa,Aguada Beach,Beach,,2,4.5,0,TRUE,,Scenic,TRUE,0.01,Evening
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,TRUE,,Wildlife,TRUE,0.03,Afternoon
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,TRUE,,Historical,TRUE,0.35,Morning
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,FALSE,,Religious,FALSE,0.59,Evening
Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,FALSE,,Wildlife,TRUE,0.08,Morning
Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,TRUE,,Nature,TRUE,0.12,Evening
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,TRUE,Monday,Historical,TRUE,0.17,Afternoon
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,FALSE,,Religious,FALSE,0.39,Morning
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,,3,4.9,7500,TRUE,,Cultural,TRUE,0.1,Evening
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,FALSE,Monday,Historical,TRUE,0.67,All
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,FALSE,,Historical,TRUE,0.05,All
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,TRUE,,Recreational,TRUE,0.1,Evening
Western,Gujarat,Ahmedabad,Manek Chowk,Market,,2,4.4,0,TRUE,,Food,TRUE,0.49,Night
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,TRUE,,Recreational,TRUE,0.3,Afternoon
Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,TRUE,Monday,Educational,TRUE,0.11,All
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,TRUE,,Architectural,TRUE,1.3,Morning
Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,TRUE,,Historical,TRUE,0.51,All
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,FALSE,,Historical,TRUE,0.56,All
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,FALSE,,Wildlife,TRUE,0.09,All
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,FALSE,,Religious,TRUE,1.6,All
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,TRUE,,Religious,FALSE,0.35,All
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,TRUE,,Historical,TRUE,0.64,All
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,FALSE,,Historical,TRUE,1.9,All
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,FALSE,,Religious,FALSE,0.05,All
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,TRUE,,Historical,TRUE,0.32,All
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,TRUE,,Historical,TRUE,1.5,All
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,TRUE,,Historical,TRUE,0.3,All
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,0,TRUE,,Nature,TRUE,0.5,All
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,TRUE,,Spiritual,TRUE,1.9,All
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,0,TRUE,,Historical,TRUE,0.3,Afternoon
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,0,TRUE,,Cultural,TRUE,0.17,Evening
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,30,TRUE,,Artistic,TRUE,0.5,All
